slug,volume,most_expensive_nft_id,volume_eth,max_price,mean_price,median_price,bucket
player-tokens,1,1869413,0.04,0.04,0.04,0.039994970390933776,2021-10-05 00:00:00+00:00
cryptokitties,51,1938057,2.5101323451863315,0.4,0.04921828127816336,0.015010551382500346,2021-10-01 00:00:00+00:00
decentraland,15,2045240,161846.57,55000.0,10789.771333333334,6496.393308933581,2021-10-02 00:00:00+00:00
su-squares,1,2173645,0.222,0.222,0.222,0.2220170714446233,2021-10-03 00:00:00+00:00
su-squares,4,2175163,0.837,0.218,0.20925,0.20992582596804796,2021-10-05 00:00:00+00:00
su-squares,4,2176641,1.029,0.279,0.25725,0.24982341209247746,2021-10-01 00:00:00+00:00
su-squares,1,2178227,0.15,0.15,0.15,0.15001782894228086,2021-10-07 00:00:00+00:00
cryptocrystal,7,2245181,0.4449999999999999,0.15,0.06357142857142856,0.039994970390933776,2021-10-07 00:00:00+00:00
war-riders,4,2247123,0.2525,0.1,0.063125,0.09995839119153871,2021-10-01 00:00:00+00:00
hedgie,2,2322131,0.0002,0.0001,0.0001,9.993370215083882e-05,2021-10-03 00:00:00+00:00
superrare,24,2421544,573.6210000000001,250.0,23.900875000000003,1.9997051226201594,2021-10-06 00:00:00+00:00
war-riders,2,2429750,0.9927,0.99,0.49635,0.9890597806185512,2021-10-07 00:00:00+00:00
darkwinds,1,2462873,0.0375,0.0375,0.0375,0.03751548138244867,2021-10-04 00:00:00+00:00
decentraland,13,2488650,444924.0,350000.0,34224.92307692308,6995.3606987921075,2021-10-06 00:00:00+00:00
cryptowars,2,2514650,0.08700000000000001,0.085,0.043500000000000004,0.08500873001836201,2021-10-03 00:00:00+00:00
cryptokitties,139,2534807,16.350715513722335,8.0,0.11763104686131176,0.022482866134421013,2021-10-03 00:00:00+00:00
cryptospacecommanders,1,2540238,0.05,0.05,0.05,0.050036552115057094,2021-10-02 00:00:00+00:00
cryptocrystal,3,2601934,0.21000000000000002,0.09,0.07,0.0700181078836171,2021-10-01 00:00:00+00:00
cryptoarte,4,2665811,1.76,1.1,0.44,0.24982341209247746,2021-10-06 00:00:00+00:00
hyperdragons,1,2680853,0.04,0.04,0.04,0.039994970390933776,2021-10-04 00:00:00+00:00
gods-unchained-collectibles,1,2718790,0.01,0.01,0.01,0.010001681651251936,2021-10-02 00:00:00+00:00
decentraland,8,2753220,100126.20999999999,45000.0,12515.776249999999,5447.991936086634,2021-10-07 00:00:00+00:00
crypt-oink,5,2842673,0.12000000000000001,0.03,0.024,0.019980433599225328,2021-10-07 00:00:00+00:00
cryptopioneers-plot,2,2849000,0.089,0.049,0.0445,0.049045761673051365,2021-10-02 00:00:00+00:00
hyperdragons,1,2869158,0.0,0.0,0.0,0.0,2021-10-01 00:00:00+00:00
ethermon,102,2876464,0.35172444444333306,0.05,0.0034482788670915005,0.0009001016670165128,2021-10-02 00:00:00+00:00
etherlambos,2,2906862,4.4,2.9,2.2,2.9008385634378344,2021-10-06 00:00:00+00:00
mycryptoheroes,32,3022760,0.39749221000000007,0.15,0.012421631562500002,0.0013005048873846005,2021-10-01 00:00:00+00:00
mycryptoheroes,22,3040030,0.19404320999999997,0.1,0.008820145909090908,0.0013005048873846005,2021-10-03 00:00:00+00:00
lordless,1,3058064,0.0139,0.0139,0.0139,0.013912021938255581,2021-10-04 00:00:00+00:00
cryptoarte,7,3096657,2.6129,1.0,0.37327142857142853,0.2400276927910802,2021-10-04 00:00:00+00:00
decentraland,13,3104664,234837.43000000002,75000.0,18064.417692307696,6884.325540605921,2021-10-03 00:00:00+00:00
plasma-bears,1,3167757,4.5,4.5,4.5,4.504153637795484,2021-10-02 00:00:00+00:00
plasma-bears,4,3184089,10.663,5.19,2.66575,2.6617926552067424,2021-10-03 00:00:00+00:00
plasma-bears,3,3184507,4.140000000000001,2.25,1.3800000000000001,1.499301952811187,2021-10-05 00:00:00+00:00
cryptoderby,1,3194274,0.01,0.01,0.01,0.010001681651251936,2021-10-07 00:00:00+00:00
blockade-legacy,8,3223580,0.07799999999999999,0.011,0.009749999999999998,0.010001681651251936,2021-10-06 00:00:00+00:00
mythereum,9,3291446,5.43,2.38,0.6033333333333333,0.09995839119153871,2021-10-06 00:00:00+00:00
plasma-bears,1,3308391,0.5144,0.5144,0.5144,0.514273156572514,2021-10-06 00:00:00+00:00
neon-district,1,3354932,2.11,2.11,2.11,2.110658003768078,2021-10-07 00:00:00+00:00
decentraland,9,3358673,46506.95,16420.0,5167.438888888889,5524.800252477205,2021-10-01 00:00:00+00:00
cryptoflowers-v3,2,3393003,0.0093,0.0083,0.00465,0.008304131665593325,2021-10-02 00:00:00+00:00
cryptoflowers-v3,3,3423230,0.0209,0.0085,0.006966666666666666,0.008404381575459856,2021-10-01 00:00:00+00:00
neon-district,1,3429894,0.0059,0.0059,0.0059,0.005898824347856476,2021-10-04 00:00:00+00:00
blockcities,1,3436186,0.01,0.01,0.01,0.010001681651251936,2021-10-06 00:00:00+00:00
autoglyphs,1,3482478,375.0,375.0,375.0,375.02829470379663,2021-10-06 00:00:00+00:00
blockchaincuties,3,3510602,0.0039,0.002,0.0013,0.0018017396540659315,2021-10-01 00:00:00+00:00
neon-district,7,3513450,2.94,0.5,0.42,0.3997160712999246,2021-10-05 00:00:00+00:00
blockchaincuties,5,3539262,0.0063,0.005,0.00126,9.993370215083882e-05,2021-10-02 00:00:00+00:00
mythereum,4,3677488,2.9899999999999998,2.57,0.7474999999999999,0.17016255544059322,2021-10-01 00:00:00+00:00
mythereum,3,3678357,2.4200000000000004,2.2,0.8066666666666668,0.11991151214540163,2021-10-04 00:00:00+00:00
mythereum,7,3678404,4.2455,2.0,0.6064999999999999,0.0624742114409688,2021-10-05 00:00:00+00:00
cryptoflowers-v3,1,3724135,0.0055,0.0055,0.0055,0.0055000272383180756,2021-10-06 00:00:00+00:00
blockchaincuties,2,3755436,0.0349,0.03,0.01745,0.02998668980313593,2021-10-04 00:00:00+00:00
plasma-bears,7,3766209,18.75,4.95,2.6785714285714284,2.5017733131116873,2021-10-07 00:00:00+00:00
aifx1,1,3768586,0.3,0.3,0.3,0.3002917127329668,2021-10-01 00:00:00+00:00
aifx1,1,3768721,0.33,0.33,0.33,0.32988839797746944,2021-10-03 00:00:00+00:00
aifx1,1,3768972,0.34,0.34,0.34,0.33993499879389727,2021-10-07 00:00:00+00:00
realitic,2,3778216,2.75,1.4,1.375,1.4007385207185301,2021-10-05 00:00:00+00:00
realitic,1,3778330,0.8,0.8,0.8,0.8001143897618259,2021-10-02 00:00:00+00:00
nifty-football-trading-card,1,3779965,0.01,0.01,0.01,0.010001681651251936,2021-10-05 00:00:00+00:00
nifty-football-trading-card,3,3780268,0.04,0.015,0.013333333333333334,0.015010551382500346,2021-10-01 00:00:00+00:00
cryptofighters,2,3815168,0.2599,0.135,0.12995,0.13492972823400542,2021-10-04 00:00:00+00:00
cryptoflowers-v3,1,3832375,0.004,0.004,0.004,0.004001834730761728,2021-10-03 00:00:00+00:00
cryptoskulls,10,3876423,2.4649999999999994,2.0,0.24649999999999994,0.050036552115057094,2021-10-01 00:00:00+00:00
cryptoflowers-v3,1,4104657,0.233,0.233,0.233,0.23293380006771797,2021-10-05 00:00:00+00:00
89-seconds-atomized-v5,1,4373295,1.99,1.99,1.99,1.991722275806154,2021-10-07 00:00:00+00:00
superrare,12,4375442,956.5000000000001,515.0,79.70833333333334,3.0011629583492887,2021-10-05 00:00:00+00:00
editional,1,4385724,0.004,0.004,0.004,0.004001834730761728,2021-10-03 00:00:00+00:00
mythereum,12,4386115,2.5880000000000005,1.0,0.2156666666666667,0.08005820537516704,2021-10-02 00:00:00+00:00
